Périmètre;Nature;Date;Heure;Date - Heure;Consommation (MW);Prévision J-1 (MW);Prévision J (MW);Fioul (MW);Charbon (MW);Gaz (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Taux de CO2 (g/kWh);Ech. comm. Angleterre (MW);Ech. comm. Espagne (MW);Ech. comm. Italie (MW);Ech. comm. Suisse (MW);Ech. comm. Allemagne-Belgique (MW);Fioul - TAC (MW);Fioul - Cogénération (MW);Fioul - Autres (MW);Gaz - TAC (MW);Gaz - Cogénération (MW);Gaz - CCG (MW);Gaz - Autres (MW);Hydraulique - Fil de l'eau + éclusée (MW);Hydraulique - Lacs (MW);Hydraulique - STEP turbinage (MW);Bioénergies - Déchets (MW);Bioénergies - Biomasse (MW);Bioénergies - Biogaz (MW);Stockage batterie (MW);Déstockage batterie (MW);Eolien terrestre (MW);Eolien offshore (MW)
France;Données temps réel;2022-11-14;20:30;2022-11-14T20:30:00+01:00;52963;54800;53400;189;193;6985;30423;5829;0;7707;-12;661;988;70;2351;1500;-2705;-3463;4262;1;10;178;0;1828;5158;0;3894;999;2814;129;278;257;ND;ND;ND;ND
France;Données temps réel;2022-11-14;21:00;2022-11-14T21:00:00+01:00;51098;52700;51300;190;287;6652;30379;5943;0;6153;-12;662;844;72;2326;1500;-3100;-3700;4114;2;10;178;0;1829;4824;0;3711;677;1765;130;277;257;ND;ND;ND;ND
France;Données temps réel;2022-11-14;23:15;2022-11-14T23:15:00+01:00;49459;51750;50650;190;309;5565;30540;5991;0;3666;-468;668;2998;68;;;;;;2;10;178;0;1746;3821;0;3071;281;314;136;276;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;00:45;2022-11-15T00:45:00+01:00;44692;46550;45550;188;308;3562;29899;6534;0;2934;-1323;671;1919;54;;;;;;0;10;178;0;1722;1842;0;2625;221;88;138;279;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;03:15;2022-11-15T03:15:00+01:00;42760;43250;42800;188;306;3900;29668;6331;0;2905;-3007;671;1798;60;;;;;;0;10;178;0;1735;2166;0;2719;183;3;134;278;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;04:30;2022-11-15T04:30:00+01:00;41357;42000;41400;188;304;3639;29170;7084;0;2965;-3334;661;680;57;3028;2300;-2978;-3700;2305;0;10;178;0;1731;1909;0;2723;239;3;133;275;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;05:15;2022-11-15T05:15:00+01:00;42672;43450;42900;189;304;3812;29250;7563;0;3143;-3047;663;795;57;;;;;;1;10;178;0;1732;2082;0;2827;313;3;133;271;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;06:45;2022-11-15T06:45:00+01:00;49922;50450;50000;190;363;5155;29860;8411;0;5010;-6;666;273;61;;;;;;2;10;178;0;1769;3388;0;3143;796;1071;132;274;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;08:45;2022-11-15T08:45:00+01:00;54846;55000;54900;190;356;7127;30043;9706;489;7263;0;661;-989;70;;;;;;2;10;178;0;1762;5367;0;3826;1014;2423;130;275;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;09:30;2022-11-15T09:30:00+01:00;55406;55500;55400;189;360;6932;30065;9722;1036;7876;0;644;-1418;67;2595;1942;-2821;-3700;611;1;10;178;0;1759;5175;0;3752;1084;3040;116;274;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;10:00;2022-11-15T10:00:00+01:00;55310;55700;55300;190;360;6844;30167;9562;1499;6508;0;663;-483;68;2317;1950;-2821;-3700;1578;2;10;178;0;1760;5085;0;3772;967;1769;120;278;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;11:00;2022-11-15T11:00:00+01:00;56150;55900;56100;190;360;6591;30171;9612;2153;6403;0;756;-86;66;2180;2250;-2821;-3700;2168;2;10;178;0;1749;4844;0;3421;1850;1082;129;275;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;12:30;2022-11-15T12:30:00+01:00;56387;55200;56400;190;358;6178;30143;9921;2378;6638;-500;643;438;62;3028;2250;-2821;-3700;1786;2;10;178;0;1733;4446;0;3445;1738;1455;106;282;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;13:00;2022-11-15T13:00:00+01:00;55415;54700;55200;190;358;6095;30183;9894;2465;5640;-495;639;446;62;2764;2250;-2673;-3548;1868;2;10;178;0;1728;4369;0;3336;1001;1303;105;276;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;13:15;2022-11-15T13:15:00+01:00;54923;54250;54950;190;434;5745;30176;9863;2415;5419;0;643;38;61;;;;;;2;10;178;0;1689;4057;0;3285;915;1219;107;278;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;13:45;2022-11-15T13:45:00+01:00;54582;54000;54850;190;428;6005;30158;9934;2457;5540;0;647;-777;63;;;;;;2;10;178;0;1692;4314;0;3278;871;1391;119;271;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;14:30;2022-11-15T14:30:00+01:00;54503;53800;54600;190;362;6453;30167;9731;1938;7074;-10;665;-2067;64;3028;2250;-2704;-3581;-349;2;10;178;0;1689;4765;0;3419;945;2710;129;276;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;16:15;2022-11-15T16:15:00+01:00;52480;52750;53200;189;487;6415;29994;9135;656;7276;0;661;-2333;68;;;;;;1;10;178;0;1702;4714;0;3655;787;2834;134;269;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;16:45;2022-11-15T16:45:00+01:00;52142;52650;53150;190;438;6420;30018;8631;407;7441;0;661;-2064;68;;;;;;2;10;178;0;1698;4723;0;3666;1065;2710;135;269;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;17:30;2022-11-15T17:30:00+01:00;54012;54700;54800;189;438;6571;29937;8496;224;7796;0;663;-302;69;1882;2200;-3132;-3385;2250;1;10;178;0;1702;4870;0;3962;1162;2672;132;274;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;18:00;2022-11-15T18:00:00+01:00;55793;57100;56800;190;439;6592;30084;8521;180;8011;0;678;1098;68;1374;2150;-2982;-1689;3799;2;10;178;0;1706;4887;0;4093;1288;2630;138;283;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;18:15;2022-11-15T18:15:00+01:00;56281;57850;57350;190;439;6536;30037;8501;181;7597;0;676;2124;69;;;;;;2;10;178;0;1705;4832;0;4173;1243;2181;134;285;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;18:30;2022-11-15T18:30:00+01:00;56855;58600;57900;189;437;6747;30058;8468;0;7979;0;669;2308;70;1374;2150;-2982;-1689;4064;1;10;178;0;1705;5043;0;4167;1343;2469;128;284;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;19:30;2022-11-15T19:30:00+01:00;57112;58700;57600;189;439;6719;29962;8187;0;7433;0;677;3506;71;972;2150;-2833;-3594;7173;1;10;178;0;1708;5013;0;3958;945;2530;134;286;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;23:00;2022-11-15T23:00:00+01:00;50232;51800;50800;189;312;3873;29777;7521;0;3490;-1684;676;6078;55;3003;2150;-2760;-3700;6654;1;10;178;0;1715;2160;0;3234;140;116;134;283;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;00:30;2022-11-16T00:30:00+01:00;47229;46500;47400;189;307;2715;29854;7618;0;4031;-1353;673;3195;44;2247;2800;-3686;-3700;5781;1;10;178;0;1650;1066;0;3142;754;135;135;285;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;01:00;2022-11-16T01:00:00+01:00;44782;44800;45200;190;307;2386;29001;8305;0;3571;-2176;678;2520;43;2199;2800;-3686;-3700;5414;2;10;178;0;1654;734;0;3068;499;4;135;288;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;01:15;2022-11-16T01:15:00+01:00;45344;45050;45550;185;306;2554;29509;8376;0;3607;-2554;681;2680;44;;;;;;0;10;178;0;1651;905;0;3051;552;4;135;287;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;04:30;2022-11-16T04:30:00+01:00;41720;41200;41900;185;307;2910;29201;8237;0;3607;-3410;683;0;49;2124;3145;-3686;-3699;2144;0;10;178;0;1658;1253;0;3159;445;3;137;285;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;05:30;2022-11-16T05:30:00+01:00;44095;43200;44300;186;309;3000;29450;8243;0;3640;-3006;681;1592;49;2757;3145;-3686;-3700;2504;0;10;178;0;1657;1345;0;3126;511;3;141;285;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;07:15;2022-11-16T07:15:00+01:00;52559;51700;52500;190;446;3112;30031;8684;0;7042;-12;685;2381;45;;;;;;2;10;178;0;1727;1386;0;3681;1780;1581;136;292;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;07:45;2022-11-16T07:45:00+01:00;53970;53100;53950;190;442;3445;30220;8806;195;7544;-12;684;2456;47;;;;;;2;10;178;0;1727;1720;0;3931;1876;1737;131;290;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;08:30;2022-11-16T08:30:00+01:00;55009;54400;55000;189;345;4045;30340;8648;492;9335;-12;692;935;47;1805;2200;-3296;-3573;4173;1;10;178;0;1725;2322;0;4232;1929;3174;136;296;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;10:45;2022-11-16T10:45:00+01:00;54721;55550;55100;190;443;4022;30366;8567;4440;6255;-72;685;-175;48;;;;;;2;10;178;0;1557;2466;0;4027;1196;1032;133;297;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;11:30;2022-11-16T11:30:00+01:00;55195;56100;55200;190;444;4239;30332;8523;5333;6451;0;688;-1005;49;2248;2400;-3501;-3700;2489;2;10;178;0;1588;2653;0;3851;1222;1378;137;294;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;12:15;2022-11-16T12:15:00+01:00;55225;56550;55500;190;441;4061;30210;8426;5703;5676;0;682;-164;48;;;;;;2;10;178;0;1589;2474;0;3794;1058;824;133;292;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;15:30;2022-11-16T15:30:00+01:00;52879;53800;52800;190;434;4363;30362;8497;2662;7788;0;680;-2097;51;1458;2590;-3501;-2811;156;2;10;178;0;1622;2742;0;3947;2125;1716;136;288;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;16:15;2022-11-16T16:15:00+01:00;52162;52900;52050;190;434;4584;30442;9195;1249;6998;0;676;-1606;54;;;;;;2;10;178;0;1618;2967;0;4124;1283;1591;131;288;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;17:45;2022-11-16T17:45:00+01:00;55643;55200;54900;188;426;4974;30532;11699;208;7904;0;674;-962;54;;;;;;0;10;178;0;1640;3335;0;4363;1344;2197;128;288;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;18:00;2022-11-16T18:00:00+01:00;56398;56200;56000;188;347;4958;30524;12091;183;7813;0;667;-373;52;968;2250;-3464;-2069;3319;0;10;178;0;1640;3320;0;4341;1318;2154;126;290;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;18:30;2022-11-16T18:30:00+01:00;57607;57200;57200;190;298;4841;30313;12667;0;7231;0;673;1394;51;968;2250;-3464;-2069;3565;2;10;178;0;1645;3198;0;4338;1028;1865;126;287;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;19:15;2022-11-16T19:15:00+01:00;58843;58050;58250;188;215;4881;30271;13870;0;7426;0;665;1327;48;;;;;;0;10;178;0;1647;3236;0;4104;1152;2170;123;287;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;19:45;2022-11-16T19:45:00+01:00;57196;56450;56700;188;105;4716;30021;14443;0;5984;-81;668;1152;46;;;;;;0;10;178;0;1647;3070;0;4045;965;974;127;286;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;20:00;2022-11-16T20:00:00+01:00;56554;55300;55600;186;105;4523;29814;14613;0;5769;-147;673;1018;45;1385;2250;-3464;-3700;4722;0;10;178;0;1647;2877;0;4021;863;885;130;287;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;21:30;2022-11-16T21:30:00+01:00;51314;50500;50800;189;35;2483;29687;15025;0;4517;-2614;670;1322;31;2134;2250;-3374;-3700;4073;1;10;178;0;1603;882;0;3634;676;207;128;289;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;22:30;2022-11-16T22:30:00+01:00;50102;49900;50300;190;35;2315;29149;14892;0;4791;-2801;682;849;31;1561;2250;-3374;-3700;4648;2;10;178;0;1589;727;0;3398;1358;35;134;291;257;ND;ND;ND;ND
France;Données temps réel;2022-11-16;23:15;2022-11-16T23:15:00+01:00;50995;50500;50900;190;35;2490;29628;14848;0;5120;-2497;691;490;31;;;;;;2;10;178;0;1588;904;0;3397;1674;49;140;291;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;00:45;2022-11-17T00:45:00+01:00;46387;46150;46950;189;35;1831;27509;14967;0;4028;-2465;661;-368;28;;;;;;1;10;178;0;1550;282;0;3293;730;5;122;286;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;02:15;2022-11-17T02:15:00+01:00;46143;45450;46250;190;38;1981;26881;15017;0;3693;-3399;676;1066;30;;;;;;2;10;178;0;1552;430;0;3163;527;3;126;290;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;05:30;2022-11-17T05:30:00+01:00;43984;43500;44200;190;41;1984;27280;14317;0;3508;-2762;671;-1245;30;473;3145;-3589;-3658;2756;2;10;178;0;1554;431;0;3119;385;4;125;287;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;06:00;2022-11-17T06:00:00+01:00;46271;45800;46400;190;39;2098;28117;14404;0;3562;-2756;642;-25;30;1535;2682;-3504;-3563;3729;2;10;178;0;1550;549;0;3068;489;5;109;285;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;08:45;2022-11-17T08:45:00+01:00;55166;54700;55250;189;39;2520;29681;13371;606;4802;-598;639;3917;31;;;;;;1;10;178;0;1656;865;0;3734;898;170;104;283;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;09:30;2022-11-17T09:30:00+01:00;55343;55100;55400;189;40;2164;29351;13090;1802;5410;-813;641;3469;28;2578;2682;-3661;-3624;6149;1;10;178;0;1623;542;0;3730;1121;559;102;284;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;10:45;2022-11-17T10:45:00+01:00;55180;55200;55150;190;37;2250;29642;12744;3912;4723;-1866;652;2896;28;;;;;;2;10;178;0;1574;677;0;3370;791;562;105;288;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;13:15;2022-11-17T13:15:00+01:00;53240;54100;53450;190;36;2425;29675;12173;3930;3427;-2411;651;3144;31;;;;;;2;10;178;0;1641;785;0;3062;362;3;106;289;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;14:30;2022-11-17T14:30:00+01:00;53030;54200;53500;190;36;2966;29835;10940;3162;3436;-2191;647;4009;36;2541;2600;-3885;-3700;6598;2;10;178;0;1654;1314;0;3007;425;4;103;287;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;17:00;2022-11-17T17:00:00+01:00;52587;52400;52100;189;35;4244;30069;8513;305;5062;-6;647;3529;47;2040;2900;-3885;-3200;6259;1;10;178;0;1580;2665;0;3440;832;790;104;288;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;17:45;2022-11-17T17:45:00+01:00;55555;55100;54850;190;35;4241;30593;7925;199;7612;0;649;4111;45;;;;;;2;10;178;0;1613;2630;0;3916;1024;2672;105;288;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;18:15;2022-11-17T18:15:00+01:00;56937;56750;56550;190;35;4051;30471;7969;183;8356;0;643;5039;43;;;;;;2;10;178;0;1616;2436;0;4120;1409;2827;103;284;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;19:45;2022-11-17T19:45:00+01:00;56731;57050;57100;190;40;3963;30692;8359;0;8051;0;652;4784;42;;;;;;2;10;178;0;1620;2344;0;4215;1281;2555;107;289;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;21:15;2022-11-17T21:15:00+01:00;51660;51850;52100;186;43;3399;30898;8530;0;5490;0;638;2476;40;;;;;;0;10;178;0;1595;1806;0;3796;612;1082;98;284;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;22:00;2022-11-17T22:00:00+01:00;49393;49700;50100;186;45;2872;30067;8554;0;4494;-412;643;2944;37;2788;2543;-3618;-3633;5923;0;10;178;0;1597;1276;0;3696;525;273;98;289;257;ND;ND;ND;ND
France;Données temps réel;2022-11-17;23:30;2022-11-17T23:30:00+01:00;50150;51400;52000;186;45;3087;30302;8279;0;3918;-1773;639;5467;41;3028;2543;-3220;-3697;6981;0;10;178;0;1606;1483;0;3330;585;3;99;285;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;00:15;2022-11-18T00:15:00+01:00;49243;49600;48750;186;44;3085;30219;8832;0;3946;-1791;644;4078;40;;;;;;0;10;178;0;1612;1474;0;3196;702;48;100;287;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;00:30;2022-11-18T00:30:00+01:00;47852;48600;48000;186;44;2788;29247;8857;0;3878;-1857;636;4073;39;3027;3237;-3605;-3608;5577;0;10;178;0;1611;1179;0;3111;732;35;98;289;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;02:00;2022-11-18T02:00:00+01:00;46045;48000;46200;186;44;2833;28348;8650;0;3382;-3109;651;5060;42;3026;3237;-3619;-3690;5400;0;10;178;0;1604;1230;0;3015;364;3;104;289;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;02:45;2022-11-18T02:45:00+01:00;44983;46150;45250;186;45;2678;28254;8558;0;3854;-3596;642;4362;41;;;;;;0;10;178;0;1578;1102;0;2957;894;3;102;286;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;03:00;2022-11-18T03:00:00+01:00;44360;45500;44500;186;44;2530;28009;8564;0;4024;-3177;650;3530;39;3026;3237;-3649;-3700;3814;0;10;178;0;1577;955;0;2985;1036;3;104;289;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;03:15;2022-11-18T03:15:00+01:00;44074;45150;44150;186;43;2768;28302;8561;0;4154;-3193;640;2613;41;;;;;;0;10;178;0;1580;1190;0;2957;1194;3;103;281;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;03:30;2022-11-18T03:30:00+01:00;43595;44800;43800;186;45;2669;28313;8446;0;4146;-3392;652;2530;40;3026;3237;-3649;-3700;3642;0;10;178;0;1580;1091;0;3019;1124;3;106;285;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;03:45;2022-11-18T03:45:00+01:00;43045;44500;43500;186;44;2756;28386;8245;0;4127;-3599;644;2256;41;;;;;;0;10;178;0;1579;1178;0;3020;1104;3;104;283;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;04:00;2022-11-18T04:00:00+01:00;42865;44200;43200;186;44;2721;28287;8166;0;4114;-3603;646;2304;41;3027;3400;-3650;-3700;3396;0;10;178;0;1576;1146;0;3007;1104;3;104;285;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;04:15;2022-11-18T04:15:00+01:00;43055;44100;42950;186;45;2600;28467;8175;0;4212;-3560;638;2292;40;;;;;;0;10;178;0;1579;1022;0;3037;1172;3;102;281;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;05:45;2022-11-18T05:45:00+01:00;45450;47350;45900;186;178;3359;28868;7291;0;4440;-3071;643;3556;49;;;;;;0;10;178;0;1612;1748;0;3360;1077;3;101;283;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;06:15;2022-11-18T06:15:00+01:00;48674;49650;48350;186;225;4354;29736;7168;0;4355;-705;636;2719;55;;;;;;0;10;178;0;1706;2649;0;3388;963;4;102;282;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;10:30;2022-11-18T10:30:00+01:00;56391;57600;56400;199;617;5869;30831;5219;3519;5510;-16;711;3932;69;2491;2300;-3303;-3698;6204;0;21;178;0;1753;4118;0;3900;652;958;119;341;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;12:45;2022-11-18T12:45:00+01:00;54582;56500;54350;200;542;6523;30199;4717;4929;4395;-591;721;2947;75;;;;;;1;21;178;0;1740;4784;0;3692;311;392;121;343;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;13:00;2022-11-18T13:00:00+01:00;53856;56100;53900;199;541;6563;30183;4621;4912;4250;-994;710;2871;76;2675;2200;-3099;-3700;4839;0;21;178;0;1736;4829;0;3699;243;308;120;336;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;14:45;2022-11-18T14:45:00+01:00;52741;54700;53100;201;583;7087;30407;4008;3219;4266;-1186;726;3430;84;;;;;;2;21;178;0;1732;5356;0;3606;335;325;112;348;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;16:45;2022-11-18T16:45:00+01:00;51226;52950;52300;201;556;7123;30356;3172;494;6954;-50;756;1664;83;;;;;;2;21;178;0;1782;5343;0;4182;742;2030;134;360;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;18:45;2022-11-18T18:45:00+01:00;57696;58850;57950;200;548;7338;30925;3312;0;9712;0;764;4897;80;;;;;;1;21;178;0;1849;5490;0;5174;1330;3208;136;373;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;21:30;2022-11-18T21:30:00+01:00;51861;53300;51800;199;575;5964;30824;3082;0;5351;-205;783;5288;78;2466;2150;-411;-2761;3734;0;21;178;0;1764;4202;0;4337;373;641;137;391;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;21:45;2022-11-18T21:45:00+01:00;51071;52950;51400;200;582;5659;30814;3065;0;5047;-206;781;5129;77;;;;;;1;21;178;0;1766;3894;0;4237;353;457;135;392;257;ND;ND;ND;ND
France;Données temps réel;2022-11-18;23:30;2022-11-18T23:30:00+01:00;52143;54800;52900;200;545;5657;30586;2838;0;4616;-360;777;7284;78;2850;2150;-1490;-2246;6320;1;21;178;0;1769;3889;0;4015;322;279;134;388;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;01:15;2022-11-19T01:15:00+01:00;48417;48050;48400;201;565;5269;29722;2685;0;3961;-2096;785;7325;82;;;;;;2;21;178;0;1747;3523;0;3812;44;105;139;388;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;02:15;2022-11-19T02:15:00+01:00;48246;48000;48000;201;575;4673;29675;2665;0;3789;-2234;789;8113;77;;;;;;2;21;178;0;1772;2902;0;3710;74;5;138;396;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;02:30;2022-11-19T02:30:00+01:00;47224;47400;47400;201;562;4159;29231;2714;0;3744;-2248;786;8075;73;3028;3000;-3306;-3103;8646;2;21;178;0;1771;2389;0;3694;46;4;135;397;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;05:15;2022-11-19T05:15:00+01:00;43909;44500;43650;197;552;3382;28741;2392;0;4312;-3465;798;7000;69;;;;;;0;21;178;0;1746;1638;0;3560;749;3;134;407;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;06:15;2022-11-19T06:15:00+01:00;45505;46350;45300;197;602;3597;29047;2365;0;4193;-3460;806;8158;72;;;;;;0;21;178;0;1754;1844;0;3612;578;3;137;408;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;06:45;2022-11-19T06:45:00+01:00;45882;47600;46350;197;607;3578;29207;2419;0;3962;-2404;805;7511;70;;;;;;0;21;178;0;1755;1824;0;3639;320;3;138;405;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;07:15;2022-11-19T07:15:00+01:00;47217;48450;47300;197;531;3697;29177;2394;0;4148;-1813;807;8079;68;;;;;;0;21;178;0;1784;1914;0;3794;351;3;136;410;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;07:30;2022-11-19T07:30:00+01:00;47843;48600;47800;197;529;4354;29151;2377;187;4171;-1659;801;7735;73;3028;3098;-3032;-3700;8670;0;21;178;0;1780;2575;0;3833;333;5;136;408;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;08:30;2022-11-19T08:30:00+01:00;49920;50500;49900;197;584;6232;29414;2391;474;4558;-1011;801;6280;87;3028;3098;-3759;-3700;7367;0;21;178;0;1795;4439;0;3936;407;215;130;413;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;08:45;2022-11-19T08:45:00+01:00;50365;51000;50450;197;570;6269;29366;2431;712;4567;-176;802;5627;85;;;;;;0;21;178;0;1795;4476;0;3971;390;206;132;409;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;10:00;2022-11-19T10:00:00+01:00;52252;53500;52100;197;501;6024;29270;2306;2858;4376;-17;800;5937;78;3028;3098;-3249;-3376;6152;0;21;178;0;1772;4253;0;3813;529;34;134;410;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;14:15;2022-11-19T14:15:00+01:00;49852;51650;49450;197;383;6251;30117;2544;4838;4538;-14;795;203;73;;;;;;0;21;178;0;1757;4495;0;3733;562;243;136;402;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;15:15;2022-11-19T15:15:00+01:00;49195;51100;48900;197;419;6306;30108;2860;3408;5532;-37;798;-396;74;;;;;;0;21;178;0;1755;4552;0;3779;721;1032;136;405;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;16:00;2022-11-19T16:00:00+01:00;47883;50400;47800;197;389;6931;30098;2906;1942;5732;-58;796;-1050;80;2621;3283;-1789;-3158;-1721;0;21;178;0;1761;5171;0;3880;727;1125;138;403;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;17:00;2022-11-19T17:00:00+01:00;48463;50300;48500;197;436;7715;30106;2955;312;6434;-51;801;-442;88;2117;3283;-731;-2272;-1188;0;21;178;0;1777;5939;0;4048;871;1515;139;404;257;ND;ND;ND;ND
France;Données temps réel;2022-11-19;20:30;2022-11-19T20:30:00+01:00;51928;54100;52200;197;375;7167;30300;3495;0;5838;0;807;3749;83;2319;2960;-1837;-2091;2985;0;21;178;0;1761;5408;0;4401;808;629;134;419;257;ND;ND;ND;ND
France;Données temps réel;2022-11-09;11:00;2022-11-09T11:00:00+01:00;53121;52600;53000;200;36;6747;30196;6495;2411;4723;-12;642;1683;66;3028;1950;-3512;-3035;3613;1;21;178;0;1670;5078;0;3394;961;368;110;277;257;ND;ND;ND;ND
France;Données temps réel;2022-11-09;12:00;2022-11-09T12:00:00+01:00;54196;53600;54200;200;36;6867;30146;6161;2802;5226;-338;638;2458;67;3028;1950;-3488;-2275;2696;1;21;178;0;1670;5198;0;3449;1550;227;116;274;257;ND;ND;ND;ND
France;Données temps réel;2022-11-09;12:15;2022-11-09T12:15:00+01:00;53556;53000;53900;200;36;6927;30153;6108;2732;5509;-838;640;2089;68;;;;;;1;21;178;0;1704;5224;0;3524;1572;413;115;273;257;ND;ND;ND;ND
France;Données temps réel;2022-11-09;12:45;2022-11-09T12:45:00+01:00;52857;52200;53000;201;36;6725;30134;5911;2749;5399;-1114;650;2166;67;;;;;;2;21;178;0;1701;5025;0;3706;1388;305;120;272;257;ND;ND;ND;ND
France;Données temps réel;2022-11-09;13:00;2022-11-09T13:00:00+01:00;52440;52000;52400;200;36;6823;30090;5859;2726;5363;-1116;639;1820;68;3028;1950;-3408;-2515;2197;1;21;178;0;1699;5126;0;3666;1390;307;118;270;257;ND;ND;ND;ND
France;Données temps réel;2022-11-09;13:30;2022-11-09T13:30:00+01:00;51685;51600;51600;201;36;6930;30198;5783;2649;5194;-1110;656;1148;69;3028;1950;-3408;-2511;2197;2;21;178;0;1704;5228;0;3663;1182;349;123;273;257;ND;ND;ND;ND
